Bundesland;Name der Institution;Ort;Einrichtungsart;Trägerschaft Hochschulkompass;OA-Webseite der Institution;OA-Webseite der Institution URL;OA-Beauftragte*r;OA-Beauftragte*r Name;OA-Beauftragte*r URL;OA-Beauftragte*r Quelle URL;Ansprechperson für OA;Ansprechperson für OA URL;(Funktions-)Emailadresse;OA Policy;OA Policy Datum2;OA Policy URL;OA-Strategie;OA-Strategie Datum;OA-Strategie URL;OS Policy;OS Policy Datum;OS Policy URL;Zs. Publikationsfonds;Zs. Publikationsfonds URL;Mono. Publikationsfonds;Mono. Publikationsfonds URL;Repositorium;Repositorium URL;Repositorium andere URL;OA-Verlag;OA-Verlag URL;OJS-Standort;OJS-Standort URL;OA-/OS-Preis;OA-/OS-Preis Kategorie;OA-/OS-Preis URL;Berliner Erklärung;Datum Unterzeichnung Berliner Erklärung;OA2020 Expression of Interest;DORA Institution;Jussieu- Appell;Bearbeiter*in;aktualisiert am;Name (Website Ministerium);Affiliation ROR;ROR ID;GRID ID;Wikidata ID;URL Webseite Institution
Baden-Württemberg;Eberhard Karls Universität Tübingen;Tübingen;Universität;öffentlich-rechtlich;ja;https://uni-tuebingen.de/einrichtungen/universitaetsbibliothek/publizieren-forschen/publizieren/open-access-wir-unterstuetzen-sie/;nein;NA;NA;NA;ja;https://uni-tuebingen.de/einrichtungen/universitaetsbibliothek/publizieren-forschen/publizieren/open-access-wir-unterstuetzen-sie/;openaccess[at]ub[?dot]uni-tuebingen[?dot]de;ja;2013;https://uni-tuebingen.de/securedl/sdl-eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE2NTM5OTM3MzgsImV4cCI6MTY1NDA4MzczMywidXNlciI6MCwiZ3JvdXBzIjpbMCwtMV0sImZpbGUiOiJmaWxlYWRtaW5cL1VuaV9UdWViaW5nZW5cL0VpbnJpY2h0dW5nZW5cL1VuaXZlcnNpdGFldHNiaWJsaW90aGVrXC9Eb2t1bWVudGVcL1VlYmVyX3Vuc1wvUmVjaHRsaWNoZXNcL29hX3BvbGljeV9kZXJfdW5pLnBkZiIsInBhZ2UiOjU4ODE5fQ.Df_w70PeY9THCH_HWeqBWvc1pfmFEF90lvhG4QYfa7Q/oa_policy_der_uni.pdf;nein;NA;NA;nein;NA;NA;ja;https://uni-tuebingen.de/einrichtungen/universitaetsbibliothek/publizieren-forschen/publizieren/open-access-publikationsfonds/;nein;NA;ja;https://publikationen.uni-tuebingen.de/xmlui/handle/10900/42126;NA;ja;https://www.tuebingen-university-press.de/;ja;https://open-journals.uni-tuebingen.de/ojs/;nein;NA;NA;nein;NA;nein;nein;nein;LM;31.05.2022;Universität Tübingen;University of Tübingen;https://ror.org/03a1kwz48;grid.10392.39;Q153978;https://www.uni-tuebingen.de
Berlin;Katholische Hochschule für Sozialwesen Berlin (KHSB);Berlin;Hochschule;kirchlich, staatlich anerkannt;ja;https://www.khsb-berlin.de/en/node/174768;nein;NA;NA;NA;ja;https://www.khsb-berlin.de/en/node/174768;open-access[at]khsb-berlin[dot]de;ja;2021;https://www.khsb-berlin.de/sites/default/files/openaccesspolicy.pdf;nein;NA;NA;nein;NA;NA;nein;NA;nein;NA;andere;NA;https://kidoks.bsz-bw.de/home;nein;NA;nein;NA;nein;NA;NA;ja;2021-02-22T00:00:00Z;nein;nein;nein;LM;02.06.2022;Katholische Hochschule für Sozialwesen Berlin (KHSB);NA;https://ror.org/00996c044;grid.465920.c;Q1736348;https://www.khsb-berlin.de/
Bayern;Friedrich-Alexander-Universität Erlangen-Nürnberg;Erlangen;Universität;öffentlich-rechtlich;ja;https://www.fau.de/research/service-fuer-forschende/publizieren-und-open-access/open-access/;nein;NA;NA;NA;ja;https://ub.fau.de/person/referat-open-access/;ub-open-access[at]fau[?dot]de;ja;2011;https://opus4.kobv.de/opus4-fau/frontdoor/index/index/docId/6865;nein;NA;NA;ja;2021;https://doi.org/10.5281/zenodo.5602560;ja;https://ub.fau.de/forschen/open-access/open-access-publikationsfonds/;ja;https://ub.fau.de/forschen/open-access/open-access-foerderung-ub/#collapse_2;ja;https://opus4.kobv.de/opus4-fau/;NA;ja;http://www.university-press.fau.de/;nein;NA;nein;NA;NA;ja;2013-06-27T00:00:00Z;nein;ja;nein;LM;02.06.2022;Friedrich-Alexander-Universität Erlangen-Nürnberg;University of Erlangen-Nuremberg;https://ror.org/00f7hpc57;grid.5330.5;Q40025;https://www.fau.de/
Hessen;Hochschule Darmstadt;Darmstadt;Hochschule;öffentlich-rechtlich;ja;https://bib.h-da.de/openaccess;nein;NA;NA;NA;ja;https://bib.h-da.de/services/open-access/open-access-publizieren/;open-access[?dot]bib[at]h-da[?dot]de;ja;2015;https://bib.h-da.de/fileadmin/Einrichtungen/Bibliothek/Dokumente/MZ_OA_Resolution.pdf;nein;NA;NA;nein;NA;NA;ja;https://bib.h-da.de/services/open-access/open-access-foerderung/;nein;NA;ja;https://opus4.kobv.de/opus4-h-da/home;NA;nein;NA;nein;NA;nein;NA;NA;ja;2015-09-01T00:00:00Z;nein;nein;nein;LM;02.06.2022;Hochschule Darmstadt;NA;https://ror.org/047wbd030;grid.449026.d;Q284992;https://www.h-da.de/
Bayern;Otto-Friedrich-Universität Bamberg;Bamberg;Universität;öffentlich-rechtlich;ja;https://www.uni-bamberg.de/ub/forschen-und-publizieren/open-access-publizieren/;ja;Dr. Fabian Franke;https://www.uni-bamberg.de/fileadmin/uni/wissenschaft_einricht/universitaetsbibliothek/Open_Access/Flyer_open_access_Web.pdf;NA;ja;https://www.uni-bamberg.de/ub/forschen-und-publizieren/open-access-publizieren/;"fabian[?dot]franke[at]uni-bamberg[?dot]de; barbara.ziegler[at]uni-bamberg[dot]de";ja;2011;https://www.uni-bamberg.de/open-access-erklaerung/;nein;NA;NA;nein;NA;NA;ja;https://uni-bamberg.de/ub/forschen-und-publizieren/open-access-publizieren/uebernahme-von-publikationsgebuehren-aus-dem-open-access-fonds/;nein;NA;ja;https://fis.uni-bamberg.de/;NA;ja;https://www.uni-bamberg.de/ubp/;ja;https://www.uni-bamberg.de/ubp/;nein;NA;NA;ja;2019-07-08T00:00:00Z;nein;nein;nein;LM;02.06.2022;Otto-Friedrich-Universität Bamberg;University of Bamberg;https://ror.org/01c1w6d29;grid.7359.8;Q707272;https://www.uni-bamberg.de
Baden-Württemberg;Hochschule Reutlingen;Reutlingen;Hochschule;öffentlich-rechtlich;ja;https://www.reutlingen-university.de/im-studium/lernzentrum/literatur/open-access-und-open-educational-resources/;nein;NA;NA;NA;nein;NA;NA;ja;2019;https://www.reutlingen-university.de/fileadmin/_im_studium/_lernzentrum/Open_Access_Policy.pdf;nein;NA;NA;nein;NA;NA;nein;NA;nein;NA;ja;https://publikationen.reutlingen-university.de/home;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;02.06.2022;Hochschule Reutlingen;NA;https://ror.org/00q644y50;grid.434088.3;Q317125;https://www.reutlingen-university.de/home/
Baden-Württemberg;Universität Stuttgart;Stuttgart;Universität;öffentlich-rechtlich;ja;https://oa.uni-stuttgart.de/;ja;Stefan Drößler;https://www.oa.uni-stuttgart.de/;NA;ja;https://www.oa.uni-stuttgart.de/;"stefan[?dot]droessler[at]ub[?dot]uni-stuttgart[?dot]de; oa[at]ub[?dot]uni-stuttgart[?dot]de";ja;2011;https://www.oa.uni-stuttgart.de/dokumente/OA-Policy_Uni-S_2011.pdf;nein;NA;NA;nein;NA;NA;ja;https://oa.uni-stuttgart.de/publizieren/fonds/;nein;NA;ja;https://elib.uni-stuttgart.de/;NA;nein;NA;ja;https://www.oa.uni-stuttgart.de/zeitschriftenhosting/;nein;NA;NA;ja;2021-04-01T00:00:00Z;nein;nein;nein;LM;02.06.2022;Universität Stuttgart;University of Stuttgart;https://ror.org/04vnq7t77;grid.5719.a;Q122453;https://www.uni-stuttgart.de/home/
Hessen;Technische Universität Darmstadt;Darmstadt;Universität;öffentlich-rechtlich;ja;https://www.ulb.tu-darmstadt.de/service/elektronisches_publizieren/open_access_an_der_tu/index.de.jsp;ja;Prof. Dr. Andrea Rapp;https://www.ulb.tu-darmstadt.de/service/elektronisches_publizieren/open_access_an_der_tu/index.de.jsp;NA;ja;https://www.ulb.tu-darmstadt.de/service/elektronisches_publizieren/open_access_an_der_tu/index.de.jsp;openaccess[at]ulb[?dot]tu-darmstadt[?dot]de;ja;2019;https://www.ulb.tu-darmstadt.de/media/ulb/pflicht_epublishing/pdf_11/OA-Policy_TUDarmstadt.pdf;nein;NA;NA;nein;NA;NA;ja;https://www.ulb.tu-darmstadt.de/forschen_publizieren/publizieren/oa_foerderung/index.de.jsp;ja;https://www.ulb.tu-darmstadt.de/forschen_publizieren/publizieren/oa_ulb_tud/erstveroeffentlichung/index.de.jsp;ja;https://tuprints.ulb.tu-darmstadt.de/;NA;nein;NA;ja;https://www.ulb.tu-darmstadt.de/service/elektronisches_publizieren/zeitschriftenhosting/;nein;NA;NA;ja;2015-12-07T00:00:00Z;nein;nein;nein;LM;02.06.2022;Technische Universität Darmstadt;TU Darmstadt;https://ror.org/05n911h24;grid.6546.1;Q310695;https://www.tu-darmstadt.de/
Baden-Württemberg;Albert-Ludwigs-Universität Freiburg;Freiburg;Universität;öffentlich-rechtlich;ja;https://www.ub.uni-freiburg.de/unterstuetzung/elektronisch-publizieren/open-access/;nein;NA;NA;NA;ja;https://www.ub.uni-freiburg.de/unterstuetzung/elektronisch-publizieren/open-access/;openaccess[at]ub[?dot]uni-freiburg[?dot]de ;ja;2010;https://www.ub.uni-freiburg.de/unterstuetzung/elektronisch-publizieren/open-access/open-access-resolution-der-universitaet/;nein;NA;NA;nein;NA;NA;ja;https://www.ub.uni-freiburg.de/unterstuetzung/elektronisch-publizieren/open-access/publikationsfonds/;ja;https://www.ub.uni-freiburg.de/unterstuetzung/elektronisch-publizieren/open-access/publikationsfonds/;ja;https://freidok.uni-freiburg.de/;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;02.06.2022;Albert-Ludwigs-Universität Freiburg;University of Freiburg;https://ror.org/0245cg223;grid.5963.9;Q153987;https://www.uni-freiburg.de/
Hessen;Justus-Liebig-Universität Gießen;Gießen;Universität;öffentlich-rechtlich;ja;https://www.uni-giessen.de/ub/digitales-publizieren/openaccess;nein;NA;NA;NA;ja;https://www.uni-giessen.de/ub/rnavi/kontakt/abt_anspr/oa;openaccess[at]bibsys[?dot]uni-giessen[?dot]de;ja;2011;https://www.uni-giessen.de/ub/digitales-publizieren/files/oaresolution;nein;NA;NA;nein;NA;NA;ja;https://uni-giessen.de/ub/digitales-publizieren/openaccess/oafonds;ja;https://www.uni-giessen.de/ub/digitales-publizieren/openaccess/oa_monos;ja;http://geb.uni-giessen.de/geb/;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;02.06.2022;Justus-Liebig-Universität Gießen;University of Giessen;https://ror.org/033eqas34;grid.8664.c;Q317053;https://www.uni-giessen.de/index.html
Hessen;Philipps-Universität Marburg;Marburg;Universität;öffentlich-rechtlich;ja;https://www.uni-marburg.de/de/ub/forschen/open-access;nein;NA;NA;NA;ja;https://www.uni-marburg.de/de/ub/forschen/open-access;hartung[at]ub[?dot]uni-marburg[?dot]de;ja;2015;https://www.uni-marburg.de/de/ub/forschen/ordner-fuer-dateien/oapol;nein;NA;NA;nein;NA;NA;ja;https://www.uni-marburg.de/de/ub/forschen/open-access/open-access-publikationsfonds;ja;https://www.uni-marburg.de/de/ub/forschen/open-access/open-access-publikationsfonds;ja;https://archiv.ub.uni-marburg.de/ubfind/;NA;nein;NA;ja;https://www.uni-marburg.de/de/ub/forschen/elektronisches-publizieren/zeitschriften-und-reihen-herausgeben;nein;NA;NA;nein;NA;nein;nein;nein;LM;02.06.2022;Philipps-Universität Marburg;Philipp University of Marburg;https://ror.org/01rdrb571;grid.10253.35;Q155354;https://www.uni-marburg.de
Hessen;Johann Wolfgang Goethe-Universität Frankfurt am Main;Frankfurt;Universität;öffentlich-rechtlich;ja;https://www.ub.uni-frankfurt.de/publizieren/;ja;Dr. Roland Wagner;https://www.ub.uni-frankfurt.de/publizieren/;NA;ja;https://www.ub.uni-frankfurt.de/publizieren/;"openaccess[at]ub[?dot]uni-frankfurt[?dot]de; g[?dot]kasperek[at]ub[?dot]uni-frankfurt[?dot]de; publizieren[at]ub[?dot]uni-frankfurt[?dot]de";ja;2017;https://www.ub.uni-frankfurt.de/publizieren/oa_policy_goetheuniversitaet_2017.pdf;nein;NA;NA;nein;NA;NA;ja;https://www.ub.uni-frankfurt.de/publizieren/aufsaetze.html;ja;https://www.ub.uni-frankfurt.de/publizieren/buecher.html;ja;http://publikationen.ub.uni-frankfurt.de/home;NA;nein;NA;ja;https://www.ub.uni-frankfurt.de/publizieren/ojs.html;nein;NA;NA;nein;NA;nein;nein;nein;LM;02.06.2022;Goethe-Universität Frankfurt am Main;Goethe University Frankfurt;https://ror.org/04cvxnb49;grid.7839.5;Q50662;https://www.uni-frankfurt.de/de?locale=de
Baden-Württemberg;Duale Hochschule Baden-Württemberg Karlsruhe;Karlsruhe;Hochschule;öffentlich-rechtlich;ja;https://www.cas.dhbw.de/bibliothek/services/wissenschaftliches-publizieren/;nein;NA;NA;NA;ja;https://www.cas.dhbw.de/bibliothek/services/wissenschaftliches-publizieren/;berenz[at]dhbw[dot]de;ja;2020;https://www.dhbw.de/fileadmin/user_upload/Dokumente/Forschung/Open_Access_Policy_der_DHBW_2020.pdf;nein;NA;NA;nein;NA;NA;ja;https://www.bibliothek.kit.edu/dhbw-publikationsfonds.php;nein;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;02.06.2022;Duale Hochschule Baden-Württemberg Karlsruhe;NA;NA;NA;Q1262599;https://www.karlsruhe.dhbw.de/startseite.html
Baden-Württemberg;Duale Hochschule Baden-Württemberg Mannheim;Mannheim;Hochschule;öffentlich-rechtlich;ja;https://www.mannheim.dhbw.de/service/bibliothek/elektronisches-publizieren;nein;NA;NA;NA;ja;https://www.mannheim.dhbw.de/service/bibliothek/elektronisches-publizieren;frank[?dot]krosta[at]dhbw-mannheim[?dot]de;ja;2020;https://www.dhbw.de/fileadmin/user_upload/Dokumente/Forschung/Open_Access_Policy_der_DHBW_2020.pdf;nein;NA;NA;nein;NA;NA;ja;https://www.mannheim.dhbw.de/service/bibliothek/elektronisches-publizieren;nein;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;02.06.2022;Duale Hochschule Baden-Württemberg Mannheim;NA;NA;NA;Q1262608;https://www.mannheim.dhbw.de/startseite
Baden-Württemberg;Duale Hochschule Baden-Württemberg Mosbach;Mosbach;Hochschule;öffentlich-rechtlich;ja;https://www.mosbach.dhbw.de/service-einrichtungen/bibliothek/service-ausleihe/;nein;NA;NA;NA;ja;https://www.mosbach.dhbw.de/service-einrichtungen/bibliothek/service-ausleihe/;"berenz[at]dhbw[?dot]de; bettina[?dot]rehle[at]mosbach[?dot]dhbw[?dot]de";ja;2020;https://www.dhbw.de/fileadmin/user_upload/Dokumente/Forschung/Open_Access_Policy_der_DHBW_2020.pdf;nein;NA;NA;nein;NA;NA;ja;https://www.mosbach.dhbw.de/service-einrichtungen/bibliothek/service-ausleihe/;nein;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;02.06.2022;Duale Hochschule Baden-Württemberg Mosbach;NA;NA;NA;NA;https://www.mosbach.dhbw.de/index/
Baden-Württemberg;Duale Hochschule Baden-Württemberg Lörrach;Lörrach;Hochschule;öffentlich-rechtlich;ja;https://www.cas.dhbw.de/bibliothek/services/wissenschaftliches-publizieren/;nein;NA;NA;NA;ja;https://www.cas.dhbw.de/bibliothek/services/wissenschaftliches-publizieren/;berenz[at]dhbw[?dot]de;ja;2020;https://www.dhbw.de/fileadmin/user_upload/Dokumente/Forschung/Open_Access_Policy_der_DHBW_2020.pdf;nein;NA;NA;nein;NA;NA;ja;https://www.cas.dhbw.de/bibliothek/services/wissenschaftliches-publizieren/;nein;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;02.06.2022;Duale Hochschule Baden-Württemberg Lörrach;NA;NA;NA;Q1001338;https://www.dhbw-loerrach.de/home
Baden-Württemberg;Duale Hochschule Baden-Württemberg Villingen-Schwenningen;Villingen-Schwenningen;Hochschule;öffentlich-rechtlich;ja;https://www.dhbw-vs.de/studierende/serviceeinrichtungen/bibliothek/wissenschaftliches-arbeiten.html;nein;NA;NA;NA;ja;https://www.dhbw-vs.de/studierende/serviceeinrichtungen/bibliothek/wissenschaftliches-arbeiten.html;berenz[at]dhbw[?dot]de;ja;2020;https://www.dhbw.de/fileadmin/user_upload/Dokumente/Forschung/Open_Access_Policy_der_DHBW_2020.pdf;nein;NA;NA;nein;NA;NA;ja;https://www.dhbw-vs.de/studierende/serviceeinrichtungen/bibliothek/wissenschaftliches-arbeiten.html;nein;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;02.06.2022;Duale Hochschule Baden-Württemberg Villingen-Schwenningen;NA;NA;NA;Q1262615;https://www.dhbw-vs.de/
Baden-Württemberg;Duale Hochschule Baden-Württemberg Stuttgart;Stuttgart;Hochschule;öffentlich-rechtlich;ja;https://www.dhbw-stuttgart.de/service/bibliothek/wissenschaftliches-publizieren/;nein;NA;NA;NA;ja;https://www.dhbw-stuttgart.de/horb/service/bibliothek/wissenschaftliches-publizieren/;berenz[at]dhbw[?dot]de;ja;2020;https://www.dhbw-stuttgart.de/fileadmin/dateien-horb/Bibliothek/Open_Access_Policy_der_DHBW_2020.pdf;nein;NA;NA;nein;NA;NA;ja;https://www.dhbw-stuttgart.de/horb/service/bibliothek/wissenschaftliches-publizieren/;nein;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;02.06.2022;Duale Hochschule Baden-Württemberg Stuttgart;NA;NA;NA;Q1262612;https://www.dhbw-stuttgart.de/
